model,model_family,model_params_B,n_layers_total,ablated_concept,concept_category,prompt_id,prompt_style,story_phase,expected_concept,is_control_prompt,cav_method,layer_condition,layer_numeric,layer_depth_frac,layer_type,alpha,prompt_text,baseline_text,ablated_text,baseline_total_words,ablated_total_words,text_length_ratio,changed,baseline_wolf_word_count,ablated_wolf_word_count,baseline_wolf_density,ablated_wolf_density,baseline_contains_wolf,ablated_contains_wolf,baseline_contains_wolves,ablated_contains_wolves,wolf_words_removed,wolf_density_delta,circumlocution_score,baseline_wolf_identity_count,ablated_wolf_identity_count,wolf_identity_delta,baseline_wolf_vocalization_count,ablated_wolf_vocalization_count,wolf_vocalization_delta,baseline_wolf_anatomy_count,ablated_wolf_anatomy_count,wolf_anatomy_delta,baseline_wolf_predation_count,ablated_wolf_predation_count,wolf_predation_delta,baseline_wolf_consumption_count,ablated_wolf_consumption_count,wolf_consumption_delta,baseline_wolf_habitat_count,ablated_wolf_habitat_count,wolf_habitat_delta,baseline_icu_total,ablated_icu_total,icu_max,baseline_icu_ratio,ablated_icu_ratio,baseline_icu_dependent,ablated_icu_dependent,icu_dependent_max,baseline_icu_independent,ablated_icu_independent,icu_independent_max,icu_delta_total,icu_delta_dependent,icu_delta_independent,baseline_icu_wolf_appears,ablated_icu_wolf_appears,icu_wolf_appears_delta,baseline_icu_wolf_meets_girl,ablated_icu_wolf_meets_girl,icu_wolf_meets_girl_delta,baseline_icu_wolf_eats_grandmother,ablated_icu_wolf_eats_grandmother,icu_wolf_eats_grandmother_delta,baseline_icu_wolf_disguise,ablated_icu_wolf_disguise,icu_wolf_disguise_delta,baseline_icu_big_dialogue,ablated_icu_big_dialogue,icu_big_dialogue_delta,baseline_icu_wolf_defeated,ablated_icu_wolf_defeated,icu_wolf_defeated_delta,baseline_icu_girl_character,ablated_icu_girl_character,icu_girl_character_delta,baseline_icu_grandmother,ablated_icu_grandmother,icu_grandmother_delta,baseline_icu_forest_setting,ablated_icu_forest_setting,icu_forest_setting_delta,baseline_icu_basket_food,ablated_icu_basket_food,icu_basket_food_delta,baseline_icu_mother_instruction,ablated_icu_mother_instruction,icu_mother_instruction_delta,baseline_icu_happy_ending,ablated_icu_happy_ending,icu_happy_ending_delta,on_target_bool
gpt2_small,text,0.124,12,wolf,animal,instruction_full_story,instruction,full_narrative,wolf,0,mean_diff,L6,6,0.5,single_mid,3.0,Tell me the story of Little Red Riding Hood from beginning to end.,"nning to end.

I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was","nning to end.

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-",187,69,0.369,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0.0833,0.0,0,0,6,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gpt2_small,text,0.124,12,wolf,animal,instruction_forest,instruction,encounter,wolf,0,mean_diff,L6,6,0.5,single_mid,3.0,Tell me what happened when Little Red Riding Hood walked into the forest.,"o the forest.

I was in the middle of a forest clearing when I saw Little Red Riding Hood. He was standing in the middle of the forest, looking at the trees. He was wearing a white shirt and black pants. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat","o the forest.

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-",182,69,0.3791,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.9062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0.1667,0.0833,0,0,6,2,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
gpt2_small,text,0.124,12,wolf,animal,completion_forest,completion,encounter,wolf,0,mean_diff,L6,6,0.5,single_mid,3.0,Little Red Riding Hood was walking through the dark forest when she met a,"hen she met a man who was looking for her.

""Hey, you're a little red, huh?""

""Yeah, I'm a little red.""

""I'm a little red, huh?""

""Yeah, I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""I'm a little red.""

""",hen she met a wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild wild,96,204,2.125,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.8095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0.1667,0.0833,1,1,6,1,0,6,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gpt2_small,text,0.124,12,wolf,animal,completion_grandmother,completion,deception,wolf,0,mean_diff,L6,6,0.5,single_mid,3.0,Little Red Riding Hood arrived at her grandmother's house. She knocked on the door and a voice said,"a voice said, ""Hello, Little Red.""

Little Red was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little",a voice said sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn sn,166,203,1.2229,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0.0833,0.0,0,0,6,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gpt2_small,text,0.124,12,wolf,animal,control_cinderella,instruction,control,none,1,mean_diff,L6,6,0.5,single_mid,3.0,Tell me the story of Cinderella from beginning to end.,"nning to end.

I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was","nning to end.

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-",187,69,0.369,1,1,0,0.0053,0.0,0,0,0,0,1,0.0053,0.7692,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,12,0.0833,0.0,0,0,6,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gpt2_small,text,0.124,12,wolf,animal,instruction_full_story,instruction,full_narrative,wolf,0,mean_diff,L6,6,0.5,single_mid,6.0,Tell me the story of Little Red Riding Hood from beginning to end.,"nning to end.

I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was a little kid when I first saw Little Red Riding Hood. I was","nning to end.
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-",187,103,0.5508,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0.0833,0.0,0,0,6,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gpt2_small,text,0.124,12,wolf,animal,instruction_forest,instruction,encounter,wolf,0,mean_diff,L6,6,0.5,single_mid,6.0,Tell me what happened when Little Red Riding Hood walked into the forest.,"o the forest.

I was in the middle of a forest clearing when I saw Little Red Riding Hood. He was standing in the middle of the forest, looking at the trees. He was wearing a white shirt and black pants. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat and black boots. He was wearing a black hat","o the forest.
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-

-
-

-
-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-

-",182,90,0.4945,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.9062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0.1667,0.0833,0,0,6,2,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
gpt2_small,text,0.124,12,wolf,animal,instruction_grandmother,instruction,deception,wolf,0,mean_diff,L6,6,0.5,single_mid,6.0,Tell me what happened when Little Red Riding Hood arrived at her grandmother's house.,"ther's house.

I was in the middle of a long day at work when I heard a knock at the door. I looked up and saw Little Red Riding Hood standing there, looking at me with a smile.

""Hello, Little Red,"" she said.

""Hello, Little Red,"" I said.

""Hello, Little Red,"" she said.

""Hello, Little Red,"" I said.

""Hello, Little Red,"" she said.

""Hello, Little Red,"" I said.

""Hello, Little Red,"" she said.

""Hello, Little Red,"" I said.

""Hello, Little Red,"" she said.

""Hello, Little Red,"" I said.

""Hello, Little Red,"" she said.

""Hello, Little Red,"" I said.

""Hello, Little Red,"" I said.

""Hello, Little Red,"" I said.

""Hello,","ther's house.
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-",109,102,0.9358,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.9444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0.0833,0.0,0,0,6,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gpt2_small,text,0.124,12,wolf,animal,control_cinderella,instruction,control,none,1,mean_diff,L6,6,0.5,single_mid,6.0,Tell me the story of Cinderella from beginning to end.,"nning to end.

I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was a little bit of a girl when I was a kid. I was","nning to end.
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-",187,103,0.5508,1,1,0,0.0053,0.0,0,0,0,0,1,0.0053,0.7692,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,12,0.0833,0.0,0,0,6,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gpt2_small,text,0.124,12,wolf,animal,completion_full_story,completion,full_narrative,wolf,0,mean_diff,L6,6,0.5,single_mid,10.0,"Once upon a time, there was a little girl called Little Red Riding Hood. She walked through the forest and",he forest and was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a little girl. She was a,he forest and prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey prey,170,203,1.1941,1,0,1,0.0,0.0049,0,0,0,0,-1,-0.0049,0.6667,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,2,1,12,0.1667,0.0833,0,0,6,2,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
